"","text"
"330","makasii buat aplikasi ini skrg aku diki dikit punya semangat buat hidupp"
"331","aplikasinya memuat terus udah itu harus beli paket premium lagi buat dengerin meditasinya pdhl kmrn dh bayar subscription"
"332","best"
"333","usefull app for meditations"
"334","tempat konsultasi terepic yg pernah ada kalo ada yg punya masalah dan ga dapet tempat terbaik untuk menyampaikan keluh dan kesah bisa pake app ini nggak usah susah janjian sama psikolog disini bisa cuma butuh kuota sama hp aja praktis bisa dimana aja tinggal tap aja"
"335","nyaman banget buat meditasi bareng riliv semoga efeknya akan terus meningkat"
"336","tolong bantuannya saya tidak bisa masuk riliv"
"337","bagus banget baru coba bagian meditasinya enak banget panduannya"
"338","sangat buruk kl saya bilang saya dapat seorang psikolog yg kurang kompeten anehnya saya tidak dapat solusi terbaik yg ada malah psikolog mengikuti arus saya dan lucunya malah terserah itu jawabannya chat dengan psikolog di riliv bagai membuka aib diri sendiri tanpa ada solusinya bagi saya gak lebih seperti curhat sama temen sendiri tolong untuk psikolog lebih diperhatikan lagi untuk rekrut org bukan yg kacangan kl hanya seperti itu jawabannya saya juga bisa jd psikolog"
"339","aplikasi ini sangat membantu pengidap anxiety disorder dan bipolar seperti saya untuk lebih mengendalikan pikiran  dan lebih tenangdirumah"
"340","aplikasi riliv ngebantu banget apalagi saat pandemi dan butuh konseling serta meditasi baru coba sesi meditasi hasilnya bisa jadi agak tenang suka juga sama design dan warna aplikasinya"
"341","app nya oke masalahnya kyknya psikolognya hrs dipilih lg yg bs pke kata yg bs lbh baik krn gaada layanan call jga jujur yg kmrn kadang malah ngerasa ga dingertiin dan seolah menyalahkan diri jujur perasaan w ga membaik cuma w yg sll berusaha menerima walau makin stress"
"342","kadang pas lg meditasi suka keluar sendiri aplikasinya terus berenti meditasi jadinya"
"343","one stop application untuk semua hal yang berhubungan dengan mental health"
"344","menenangkan dan merasa lebih bisa berdamai dengan apa yang terjadi tanpa menghakimi diri terima kasih"
"345","fitur meditasi sangat membantu semoga bisa ditambah seri dan topiknya terima kasih dan sukses slalu riliv "
"346","selalu ngerasa tenang kalo abis meditasi setelah sebelumnya banyak kecemasan dan banyak pikiran lain yang bikin perasaan gak nyaman"
"347","very helpful"
"348","sesi konseling baru berjalan menit dan masih di tengahtengah pembahasan namun tibatiba sesi sudah selesai"
"349","sangat bermanfaat "
"350","goood app"
"351","good"
"352","aplikasi riliv telah banyak membantu saya namun saya berharap ada pembaruan aplikasi yang menyediakan fitur mode gelap ini akan membantu mengurangi ketegangan mata terima kasih "
"353","udah bagus banget kontennya tp masih berharap ada opsi download biar bisa meditasi tidur especially buat dengerin cerita lelap tanpa ninggalin internet hp nyala di samping bantal karna biasanya tidur dalam keadaan hpnya disetting airplane mode yg katanya memang seharusnya begitu"
"354","cukup membantu di konseling awal dgn masalah yg tidak terlalu berat utk aplikasi sudah user friendly saat pembelian paket koseling dan pengaturan jadwal konseling jg ga ada masalah berarti cukup gampang digunakan"
"355","saya tidak bisa mendaftar  setiap coba mendaftar baik lewat google atau email selalu loading lama terus kembali lagi padahal saya mau coba edit udah bisa daftar sekarang responnya cepet terima kasih "
"356","bagus banget apalagi pas masamasa dimana ga bisa keluar rumah tapi butuh bantuan profesional thank you for helping me "
"357","solusi mengatasi masalah psikologis di masa pandemic ini"
"358","terima kasih banyak sangat membantu"
"359","terima kasih riliv sangat membantu"
"360","sangat membantu fiturnya banyak namun minimalis sehingga praktis dan mudah diakses psikolognya handal pertahankan"
"361","aplikasinya sangat membantu suaranya jernih vokalnya lembut tampilan aplikasi juga menarik dan banyak fiturnya"
"362","psikolognya baik recommended dah"
"363","subscribe relaksasi meditasi nya sangat worth it  layanan konsultasi online nya juga sangat membantu aplikasi yg sangat bermanfaat terimakasih "
"364","good membantu sekali"
"365","semenjak aku pakai aplikasi ini rasanya kecemasanku berkurang dan aku lebih dapat mengontrol pikiranku terima kasih"
"366","barusan download tapi kenapa selalu tidak ada koneksi internet padahal sudah tersambung"
"367","bagus untuk meditasinya suaranya jernih dan mudah untuk diikuti oleh pemula seperti saya semoga saya bisa lebih tenang tenang dan tenang lagi terimakasih"
"368"," aja ya jaringannya tolong diperbaiki yaa  bisa kirim suara atau gambar dong kedepannya sukses terus"
"369","saya sudah share kode refferal ke teman dan sudah dipakai sama teman saya tapi tulisannya kode referral kamu belum pernah terpakai aneh"
"370","aplikasi yg sangat bermanfaat"
"371","ga bisa masuk ga bisa daftar i suruh cek koneksi internet padahal internet lancar udah coba reinstall tetep aja kek gini"
"372","really good"
"373","nice app"
"374","perfect application"
"375","riliv saya mau tanya kenapa waktu pengisian no hp aplikasinya selalu keluar sendiri ya ke  kalinya saya coba begitu terus"
"376","lembut  menenangkan"
"377","it helps"
"378","i like it"
"379","ntap"
"380","saya sudah coba dan ini hari ketujuh satu hari ambil sesi latihan  menit semua coba saya record tapi kenapa bagian streak harian nya cuma tertulis  ya bagian sesi nya tertulis  sesi selesai kenapa data tidak sinkron ya terima kasih"
"381","aplikasinya cukup bagussaran player bisa didownloadjadi bisa diputar kapan saja kalau bisa pelatih meditasinya juga ikut melakukan meditasi jadi lebih terasa ada teman untuk meditasi buat yang belum install bisa pakai kode referall initnuxub untuk akses free trial seminggu ya thx"
"382","jasa konselor riliv yang katanya adalah psikolog tidak berbeda dengan auto bot apps yang me reply berdasarkan pertanyaan yang ada standar default nya dari satu sesi ke sesi yang lain pendalaman masalah jadi tidak berkesinambungan lebih hebat lagi adalah setiap isu dari x sesi perkenalanan dianggap bisa diselesaikan dlm sekejap ketika diberikan feedback agar bisa dicari cara komunikasi yg lebih efektif saya si pasien dianggap tidak kooperatif sangat mengecewakana"
"383","mudah digunakan dan sgt bermanfaat utk prang yg memang mwmbutuhkannya pilihan menu lengkap dan interface nya sgt intuitif terima kasuh riliv app ini sgt bermanfaat utl saya dan saya harap jg bermanfaat utk orang banyak lainnya"
"384","app beberapa kali crash saat sesi konseling pertama tapi saya apresiasi admin karena admin sangat responsif keep up the good work saya kasih bintang  jika bug diperbaiki"
"385","audionya kok terpotong ya yg seharusnya bilang mari jadi ri kita jadi ta sama suka stuck di tengah padahal internet stabil"
"386","kadang waktu meditasi berjalan audionya stop sendiri "
"387","kak ini no telp di ln ga bisa dimasukin musti di indo"
"388","sangat bermanfaat"
"389","ok"
"390",""
"391","cool"
"392","love banget sama app ini aku yg pecicilan yang kayak nggak pernah kehabisan energi belakangan ngerasa babak belur dan drained emotionally karena pressure kerja setelah kenalan dan meditasi bersama riliv aku bisa ngerasa lebih mencintai diri dan fokus thank you "
"393","coba paket perkenalan pengen tau gmn rasanya cerita sama psikolog tetapi hmmm jawabannya oke objektif tp saya sakit hati ketika psikolog tersebut ngmg sy rasa bs kamu simpulkan sendiri itu tuh kayak apa ya saya kan bingung cari jawaban eh malah digituin oke beberapa nasihat dia ada yg saya jalanin cuma saya masih gak lega dan makin ngerasa worst karena ya begitu judgement nya keras sekali terhadap apa yg sy ceritakan"
"394","ini sdh bagus kok kalau mau meditasi ini kode referal nya gilv"
"395","sudah beli  paket  respon sangat buruk"
"396","halo min jika saya pengguna memakai no malaysia  gimana saya gk boleh daftar trimakasih"
"397","nice"
"398","good"
"399","kenapa saat di tengah sesi sering terhenti sendiri padahal koneksi internet tetap bagus dan tidak ada hambatan untuk aplikasi lainnya"
"400","sangat membantu"
"401","manteeeppp"
"402","mostly sih udh ok kalo dr kontennya cuma sayangnya sering bgt tbtb keputusberhenti di tengah pdhl koneksi kenceng msh ada bbrp fitur lain jg yg perlu diimprove terutama soal meditasi yg sering tbtb keputus di tengah ini"
"403","saya sejujurnya belum merasa benar terbantu karena selalu terputus ketika mau meditasi di menit awal wifipaket data jd belom bisa kasih rating sarannya segera buat fitur download offline jadi kalo sewaktu entah dari internet  apps nya error ttp ada offline nya jadi org ga buang waktu ngulang terus dari awal untuk kendala knp saya berulang mau coba meditasi tp ga bisa tlg dibantu responnya ya min saya mau coba as fast as possible "
"404","keren banget fiturnya benerbener beanfaat dan gak ribet"
"405","bagian meditasinya best"
"406","audio tutorial meditasinya meditasi dasar  yg seharusnya  menit cuma bisa sampe  menit premiumnya berbayarnya sangat tidak terjangkau"
"407","keren"
"408","menenangkan"
"409","mencoba layanan psikolognya beberapa kali dan psikolognya sejauh ini yang saya temui semuanya tidak judgemental saya juga menggunakan track meditasinya untuk berkonsentrasi seharihari"
"410","ngga perlu kata lagi bagus bgt memberikan saran tanpa menghakimi good job riliv semoga orang di indonesia sadar tentang mental health"
"411","suatu teknologi dan meditasi yang membantu semua orang dapat menerapkannya dimanapun great sukses selalu"
"412","aplikasi yang membantu untuk saya yg baru belajar meditasi dan ingin mengurangi stress cuma saat mendengarkan hening tiba audio mendadak berhenti d tengah sesi bikin konsentrasi agak terganggu entah internetnya yg bermasalah apa bagaimana saya juga tdk tau semoga d fix yaa masalah ini tapi overall appnya bagus dan sangat membantu "
"413","menarik sekali membantu menenangkan diri good job"
"414","sangat membantu saya dalam melatih focus"
"415","lebih fokus setelah ikut programnya"
"416","suka banget sama sesi meditasinya"
"417","bagus banget tapi sayang berbayar"
"418","sesi meditasi yg sudah dilakukan ga tercatat"
"419","pake marshmallow aplikasi selalu keluar sendiri"
"420","sangat membantu konseling dan meditasinya berharap aplikasi nya dapat upgrade lagi karena sedikit lambat pada saat konseling"
"421","sangat membantu recom bgt"
"422","simple mudah dimengerti"
"423","meditasinya sangat menenangkan maju terus riliv"
"424","saran saya untuk coba halodoc aja deh ada clinical psychologist dan juga psychiatrist kalo perlu free"
"425","good aps"
"426","suka banget"
"427","good"
"428","good"
"429","good"
"430","bagus banget tapi sayang notificationnya ga kedengeran dan remindernya hanya by email jadi sering lupa trus harus reschedule mulu sama expertnya"
"431","membantu sekali"
"432","sangat membantu"
"433","halo saya pernah pakai riliv  tahun yang lalu dan pernah sempat ada fitur curhat yang bisa ditanggapi oleh pengguna lain apakah ini riliv yang saya maksud dan memang sudah mengalami banyak perubahan"
"434","seneng banget pake riliv fitur meditasi heningnya sangat membantu namun aplikasinya terkadang susah buat dislide ke samping pas bagian cari meditasi malah balik lagi ke awal overall masih tetap suka kok pake riliv semoga aplikasinya semakin bagus terimakasih riliv "
"435","terbaik"
"436","semalam install dan beli paket konseling  kali buat coba dg chat dan jawab pertanyaan dasar belum juga dibalas oleh psikolognya sampe pagi udah putus dan hilang seolah sesi udah selesai rugi banget saya mau minta uang saya kembali atau sesi sampai selesai tolong hub saya di email atau no hp yg saya berikan ketika daftar"
"437","ku kira gratis ternyata bayar ya hehe"
"438","meditasinya sangat membantu panduannya sangat mudah dipahami sukses terus riliv salam psikologi"
"439","ini adalag aplikasi yang saya cari selama ini saya sangat butuh aplikasi ini"
"440","aplikasi yang bermanfaat"
"441","sangat membantu terimakasih"
"442","good"
"443","aplikasinya cukup bagus tapi ada rasa kadang sulit kalau ditulis ya lama lebih enak klo dengan suara feedback lebih cepat sampai sukses terus riliv "
"444","terima kasih"
"445","thx"
"446","sedang mengalami depresi dan semoga berhasil dengan app ini kasih bintang  dulu nanti ditambahin kalo berhasil dan satu lagi kenapa metode pembayaranya hanya via transfer harusnya ditambah lagi dg metode lain seperti credit card supaya lebih mudah terima kasih"
"447","fitur notifikasi itu penting banget tapi gak ada di sini ambil paket perkenalan janjian sama konselornya udah chat di waktunya eh sejam kemudian dihubungin ada kendala di jalan kata konselornya kan bingung yak janjian lagi miss lagi gitu sampe paket angus katanya mau diperpanjang paketnya tapi nyatanya tetep angus paketnya ill rather looking for face  face counseling saya sedang mencoba untuk meminta refund atas hal ini"
"448","udah beli paket perkenalan sempet dischedule pertama tp missed reschedule tp tenaga ahli yg ga available mau reschedule tiba hilang paket konsultasinya riwayat konseling yg berlangsung kosong yg selesaipun kosong ga ada menu help juga jd yaudah anggep ilang aja untung cm paket perkenalan"
"449","akan lebih baik kalau bisa munculkan pop ups notification jika ada chat"
"450","awalnya ngira bahasa atau materinya bakal kaku ternyata pembahaannya nyantai dan mudah dimengerti good apps"
"451","keren banget inovatif banget akhirnya bisa konseling via online apalagi bisa meditasi di dalamnya"
"452","mantaapppp makin lega setelah pake riliv masalah banyak yg selese dan bisa berfikir lebih positif kedepan"
"453","mantap sih tadi baru aja coba meditasinya  menit  sesi dan ternyata bikin badan jadi relaks dan mantap"
"454","saat meditasi sebaiknya diberi backsound yang menenangkan sehingga ketika pembicara berbicara lagi tidak terlalu kaget dan tetap bisa fokus"
"455","aplikasinya bagus dan sangat membantu bagi orang yang belum pernah meditasi atau konsultasi sama sekali hanya pada saat meditasi kadang ada bagian yang membuat saya kaget"
"456","ini saya baru coba berlangganan yg x saya sdh chat tp kok skrg ga bisa di cek lg chat nya padahal belum ada balasan apa tulisannya anda belum berlangganan padahal saya sdh bayar"
"457","saya akhirnya memutuskan berlangganan tapi ada yang ingin ditanyakan saya rasa alasan saya bergabung karena begitu ingin memulai sesi segera tapi bagaimana jika respon dari psikolog datang sangat lama saya tertarik mencobanya karena review mengatakan respon datang sangat cepat namun saya mendapatkan yang sebaliknya bisa tolong bantu saya untuk segera memulai sesi terima kasih"
"458","cukup membantu sihh aplikasi riliv ya saya coba yang teks paket perkenalan cuma sayangnya ternyata chat historynya ngga ada ya jadi setelah  sesi closed saya ga bisa cek lagi isi konsultasinya apa tau gitu saya capture chat saya dengan psikolognya tadi saya cuma inget beberapa poin aja sisanya ada yang panjangg banget psikolognya kasi saya udah lupa"
"459","update  gue masih memberi bintang  karena setelah konseling via line gue makin nyesel sudah membayar psikolog tidak membantu memberi solusi yang everybody knows it dan nggak melihat background pasien yang pasti punya akar permasalahan yang berbeda justru psikolog terkesan menyalahkan pasien gue gatau apa semua psikolog seperti itu atau bahkan apakah yang membalas konseling bener bener psikolog "
"460","aplikasi ini sagat bagus untuk mengurangi orang yang melakukan self harm"
"461","saya ingin memberikan rate positif karena misi yang dibawa dan share yang aktif dilakukan di media sosial namun saat saya butuh dan sudah membayar sesi konseling psikolog tidak pernah hadir email cs sangat slow respon dm ig juga slow respon banget jadi dengan keadaan ini saya ingin refund dan tidak memberi bintang  mohon kualitas layanannya diperbaiki tidak ada guna aktif di media sosial menjadi berita dimanamana jika saat yang dibutuhkan malah tidak memberikan manfaat apapun"
"462","aplikasi ini sangat membantu juga mudah digunakan"
"463","belum ada trial conseling sudah harus bayar"
"464","sudah bayar sudah chat tapi tidak ada balasan sedih"
"465","ide yang sangat baik memberikan kesempatan untuk bisa berkonsultasi dg psikolog pelayanan pun baik namun secara aplikasi masih terdapag banyak kekurangan misalkan fitur chat yang sering error sudah mengetik panjang namun tidak terkirim saat memencet di notifikasi tidak langsung tersambung dengan aplikasi alangkah baiknya jika riwayat konseling sebelumnya dapat dibuka karena biasanya org akan mudah lupa jika hanya dengan via percakapan chat saja tidak tatap muka semoga lebih baik lagi"
"466","sangat membantu dan psikolognya sangat baik"
"467","wah bagus banget dlu saya bocah halu skrng setelah konsultasi saya menjadi bocah yang rasional dan amanah"
"468","terima kasih riliv sudah menjadi teman curhat sayaaa"
"469","proses login gagal saya gk bisa login"
"470","aplikasinya bagus banget dan bener bener ngebantu"
"471","konsep layanannya patut didukung memang kita butuh layanan kaya gini bwt kesehatan psikis kita semoga makin sukses"
"472","membantu mengurangi stress"
"473","我很喜欢不错呀"
"474","excellent app "
"475","unsatisfied service"
"476","applikasinya sangat membantu "
"477","enak banget buat kerjasama"
"478","wow bagus sekali"
"479","great apps"
"480","good app"
"481","aplikasinya bagus gampang digunakan kekurangannya chatnya gak semuanya disimpan hilang otomatis sebagian gak ada notifikasi dari psikolognya padahal notifikasi perlu loh biar gak lupa saat ada sesi terus biar tau psikolognya balas"
"482","saya sudah bayar paket tapi tidak ada balasan ketika saya buka lagi ad balasan tapi tidak ad notifikasi kalau ad yg menghubungi bagaimana kalo melalui wa atau line saja krn aplikasinya ga ada notifikasi ya"
"483","saya sudah bayar untuk satu sesi tapi sampai sekarang belum ada balasan dari psikolognya padahal saya sangat perlu untuk konsultasi kalau tidak bisa menanggapi x jam mohon bantuannya agar bisa di refund"
"484","tim riliv sangat tanggap dalam mengatasi masalah atau keluhan pelanggan terima kasih sedikit con saya perlu menunggu waktu lebih dari satu hari untuk mendapatkan pesan awal setelah mengaktifkan paket konseling"
"485","pertama saya mau berterima kasih karena sudah membuat aplikasi seperti riliv sangat membantu hanya sayangnya masih banyak bug yg perlu diperbaiki juga tambahan saran untuk tim development beberapa bug ada saya temukan tapi terlalu panjang untuk dijelaskan disini akan saya kirimkan lewat email saja thank you"
"486","beli paket yg perkenalan sudah chat sama psikolog trus nentuin hari sabtu  jam  konseling sy pas jam  lngsung chat dgn psikolog tpi tdk ada balasan ternyata psikolog bales tpi tdk masuk ke dalam chat sy tentuin waktu lgi dan lgi sy chat tdk masuk ke chat psikolog  sebaliknya dalam proses konseling sangat tidak efektif karna tdk diketahui klo chat sudah terkirim atau blm  sedang typing atau chat sudah dibaca feature chat masih sangat kurang karna komunikasi sngt lambat"
"487","saya coba paket konseling yg  sesi sudah ada konfirmasi pembayaran tp dicoba pesannya belum beli paket sudah email jg ke customer service tp belum ada balasan update  saya masih blm terima email apa dr cs riliv ya dear  update  tetap tidak bs dan tidak ada email saya sdh gak berminat lg jd buat masukan perbaikan aja buat tim riliv agar servisnya lebih konsisten thanks"
"488","sudah ambil paket yg k td sore tp saat ini mau masuk app ny saja tidak bisa kecewa "
"489","sesi chat dengan psikolog sering hilang dari riwayat sesi sehingga tidak bisa diakses sedangkan perhitungan waktu sesi tetap berjalan"
"490","gak bisa daftar"
"491","suka dgn servicenya tp tdk appnya msh byk yg hrs di improve saran sy juga supaya konseling yg sudah dilakukan bs di save history chatnya jd sewaktu bs dibaca lg krn tkdg ada yg missed blm paham dan terbatasnya wktu"
"492","tidak bisa daftar tulisannya null"
"493","awesome"
"494","kak udh hampir  jam setelah mengisi kuesioner dr psikolog dan membayar biaya juga kenapa belum di reach out juga"
"495","lebih ditingkatkan untuk masalah jenis pembayaran selain kredit dan gopay mungkin pulsa karena saya ingin membeli paket meditasi "
"496","saya kasih bintang lima kalo ada malah  baru kali ini saya komplain aplikasi ke cs terus langsung di chat pribadi melalui wa sama teknisinya "
"497","di versi baru ini kenapa riwayat konseling ga ada rieayat sesi sebelumnya jadi ga bisa ngecek kemaren udah sempet ngobrolin apa aja  also jenis paket langganan saya di bagian profile masih nunjukin jumlah sesi sebagai  padahal waktu itu saya daftar yg  sesi di riwayat konseling juga cuma sampe sesi "
"498","really helpfull meskipun masih banyak hal yg harus dikembangin lagi terutama dari pelayanannya but overall aplikasi ini layak dapat apresiasi visinya mulia untuk kepentingan mental healthness orang banyak"
"499","tidak bisa register null"
"500","sangat membantu buat orang yg belum pernah meditasi seperti saya"
"501","tidak bisa mendaftar"
"502","awesome"
"503","percuma konsep bagus kalo psikolog hanya available untuk orang yang tidak selfhrm menurut saya yang namanya psikolog itu ya memberi konseling kepada siapapun yang mengalami mental illness selepas orang tsb slfhrm atau tidak kecewa saya"
"504","tanya min klo semisal konseling masalah anxiety yg udah menahun apa bisa min udah sempet cari psikolog tetapi berhubung saya tinggal di daerah dan kebanyakan org masih awam lebih tepatnya gangguan cemas susah tidur udah sempet baca jg di inet apa bisa min dan jikalau kejadian terburuk butuh resep obat dr dokter bisa min"
"505","terimakasih riliv sangat membantu aku untuk konseling sukses ya kedepannya"
"506","aplikasi tergolong bagus cuma kurang banyak opsi untuk pembayaran"
"507","kenapa gagal terus buat sign innya"
"508","pas jadwal nya konsul kok malah ga bisa di buka aplikasinya"
"509","gimana cara pilih paket konseling telepon di appsnya"
"510","gabisa pake bpjs"
"511","pelanggan dari awal aplikasi riliv dulu sampe skrg so far makin diperbaharui sih aplikasinya ud bagus banget kalo bisa psikolog yg available lebih banyak karna kadang butuh hari ini juga untuk jadwal session"
"512","saya pengguna riliv baru baca review lain byk yg ngeluh tp sy pribadi jujur puas sekali krn mau mencari jasa psikolog kdg sulit dan bingung hrus cari dimana blm lgi kalau org skitar kurang mendukung atau jadwal yg tdk memungkinkan untk bikin janji temu secara tatap muka chat nya via line psikologny ramah dan sabar sy sgt terbantu dgn adanya riliv harganya juga masih sangat terjangkau semoga bs terus maju dan sukses ya riliv dan seluruh tim nya "
"513","mau curhat kok bayar overall bagus tinggal ditambah fitur tambahan lainnya seperti tips tips dll"
"514","lebih suka riliv yang dulu dimana setiap orang bisa saling membantu dan mendengarkan keluhan secara anonim melalui komunitas fitur komunitas sangat membantu banyak orang termasuk saya tapi sayang sekarang hanya bisa konsultasi dengan psikolog its not a bad thing malah sangat bagus karena bisa langsung kontak dengan psikolog yang ada tapi maaf gak semua orang mampu dan berpikiran harus mengeluarkan biaya untuk konsultasi seperti ini"
"515","aplikasi selalu crash saat dibuka moga bisa cepat diperbaiki"
"516"," buat riliv saya bingung kenapa ada yg kasih  haha layanan dari psikolog nya memuaskan banget seandainya bisa service ff dengan psikolog melalui riliv saya yang pertama akan subscribe hehe riliv tlg fix kalau chat ada delay dengan apa yg diketik di keyboard dan dengan tampilan di layar chat dengan psikolog juga ngga bisa saya copaste ke clipboard samsung sebetulnya untuk saya archive sewaktu bisa dibaca ulang"
"517","konfirmsi pembayaranya lama juga ya sama jujur psikiater pro nya sepertinya kurang saya belom puas dengab hasilnya  yaudah deh"
"518","worth banget sih psikolognya ramah bgt when nobody wants to hear me kakak psikologinya bener mau dengerin aku ngeluh sampe aku agak mendingan  jadi tau apa yang harus di lakuin makasih kak udah jadi temen curhat"
"519","payah sekarang aplikasinya tidak seperti harus berbayar payah sekali"
"520","musti harus ke line gk bisa log biar konsul gratis gk kyk dulu"
"521","sudah tulis panjang kyx tulis cerpen balesannya pendek  jd ini aplikasi  ada buat apa ya"
"522","tolong perbaiki servernya sering error terus menjadikan orang yang baru mendownload dan mempunyai masalah berat dapat depresi"
"523","konsepnya sebenernya bagus tapi entah karna maintenance atau apa  aplikasinya kaya niat ga niat chat di line nya juga slow response bgt"
"524","sudah  hari tidak bisa dibuka server bermasalahan tolong segera diperbaiki trims"
"525","thankshope will help me"
"526","ngga bisa di buka app nya uninstall deh"
"527","app bagus bisa merubah baper jadi super"
"528","so far so good"
"529","mungkin intensi membuat app ini bagus tapi pada kenyataannya app ini sama sekali ngak bisa digunakan uninstalled"
"530","ok sih lebih bagus kalo pada awalnya memang harus bayar misalkan bulanan karena psikolog kan lumayan ya bayarnya"
"531","baru download tapi tulisannya server maintenance kenapa ya apa emang lagi diperbaiki"
"532","agak lambat responnya tp makasih sudah direspon saya rate  kalo misalnya stelah konsul dngn expert rilivernya mmuaskan thanks"
"533","helpfull"
"534","helpfull"
"535","bagus but mostly cewek ya ayo dong yg cowok haha banyak nih cewek yg ask masalah baper help them  curhat dan bantu orang dg masalah mereka secara anonymously"
"536","thanksyou"
"537","app nya bagus buat curhat gitu seperti namanya bisa buat relieve usernya tpi akhir ini app nya gk bisa dibuka katanya ada maintenance gitu tpi kok lama amat ya tolong segera diperbaiki"
"538","diinstalldiopen langsung crash "
"539","aplikasi bagus dan membantu sekali untuk curhat ketika khawatir curhat dg orang didunia nyata dan takut aib akan tersebar disini saya juga mendapatkan beberapa teman baru saran saya untuk rate bintang di respons lebih baik bisa diedit karena saya pernah salah memberi rate bintang  saya kira dia hanya support tanpa solusi ternyata dia sedang mengetik solusi panjang sekali dan sangat membantu tetapi sudah terlanjur rate  dan tidak bisa diedit semoga riliv makin ramai dan makin baik lagi"
"540","good app tapi pemberitahuan udah ada yg ngesupport kadang nggak muncul semoga ditingkatkan lagi ya"
"541","kalau untuk sekedar curhat anonim gratis masih berfungsi tapi jangan beli ruby atau chat berbayarnya csnya di line ataupun instagram sudah tidak aktif jadi nanti uang yang ditransfer malah entah kemana makin stress "
"542","ini kenapa mau buka riliv story tapi nggak bisa semua ya not found trus"
"543","bagusterjaminrecommended"
"544","baka "
"545","good"
"546","udah transfer udh kirim bukti transfer tapi ruby nya ga bertambah admin minta bukti transfer ama email ga ada perubahan tau butuh curhat udah bayar malah ditipu"
"547","i hope it is can help me"
"548","ide yg bagus bgt bikin aplikasi kyk gni tingkatkan aja ya dan perbanyak promisi"
"549","good"
"550","ya ampunnn awal aku udah seneng ada aplikasi kaya gini download lah udah ada ide curhat panjang lebar sama expert ya ampun ternyta bayar ya ampun kak aku tu mau keluh kesah lagi susah uang aja gak punya suruh bayar pake ruby yaudah deh memang gak ada yg paling pengertian kecuali allah swt"
"551","review lama nyobain tapi dapet psikolog yg kurang empatik   update ada ide nih gmn klo ada fitur questionnaire gitu biar bisa dipke psikolog buat ngumpulin data survey g harus multiple choices ato likert scale bisa juga open question buat data kualitatif ntar klo data responden banyak mgkn bisa diagregasi buat masukan semacam casebased reasoning system spt diagnosis symptoms belief systems behavior evidence trus bisa canggih gitu kan buat bantuin psikolog ngasih rekomendasi respon ato ntar bisa jadi advanced ai chatbot yg bisa jadi psikolog untuk psikolog "
"552","apps sudah bagus tapi ada bug setiap hp di posisi horizontal apps selalu crash"
"553","gilak ni app bikin gua lost faith in humanity reliever yang gratisan galak  coba deh langsung premium aja drpd sakit hati doang dapet respon dari reliever gretongan"
"554","mari bergabung menyenangkan bagi saya dapat membantu banyak orang dengan mendengar permasalahan mereka dan membantu mereka untuk bangkit good apps jika diijinkan saya ingin menjadi konselor resmi juga di sini "
"555","sumpah ini app paling the best pokoonya gue yang awalnya putus asa pd akhirnya bisa menemukan jalan hidup gue lg walaupun cuman sedikit yang pasti gue berhasil nemu cahaya lg makasi riliv"
"556","perbanyak promosi  sayang aplikasi bagus tapi yg tau sedikit dan penggunanya sedikit juga"
"557","keren sih andai bisa totally anonymous kita login pake email device id ya walaupun data nya aman di sistem who knows kadang orang lebih suka curhat kalo totally anonymous keep it up bang audrey"
"558","bener memberikan support dan membantu kita dalam menyelasikan berbagai macam masalah"
"559","changed the rate batal suka janjinya riliv beda sama prakteknya katanya kalau post free di komunitas akan ada mahasiswa psikologi yang akan bantu ternyata nggak ada ya cuma sesama yang lagi punya masalah aja yg saling dukung mimin di line juga kurang responsif saya x menggunakan layanan berbayar psikolognya seperti emotionlessrobotik menanggapinya tolong ditingkatkan lagi baru saya kembalikan bintang nya"
"560","bagus jd punya temen untuk bertanya update trus ya app nya support"
"561","banyak orang yang membantu di app ini bisa curhat"
"562","menambah energi positif dengan memberi saran kepada org laij"
"563","terimakasih sudah mau membantu"
"564","need somebody to hear out your feelings then this is the right application"
"565","bagus  sering sering banyak yang on"
"566","saya tertarik untuk menjadi beta tester anda"
"567","cukup membantu respon komunitasnya cepet"
"568","aplikasi dewa gw dari suntuk sampe ketawa dari berbagai stres jadi berbagi tawa thanks"
"569","it is very helpful im glad i found this app "
"570","berasa jd psikolog dadakan"
"571","cocok buat orang yang gatau mau curhat ke siapa semoga makin baik dan dilengkapi dengan fitur lainnya"
"572","tempat yang baik dan aman untuk mengutarakan halhal yang tidak bisa diutarakan didepan orang lain"
"573","aplikasi yang sangat bagus karena membantu orang menyalurkan perasaan secara anonim dan membuka teman untuk memberi support"
"574","wah ini keren banget aplikasinya bisa curhat sekaligus minta saran tanpa harus dikenal sama orang"
"575","says ga bisa post di aplikasimu"
"576","kurang responsif dan bagaimana cara kita mendaftar untuk menjadi expert reliever"
"577","tolong knapa pas mau sign up ada tulisan secure maintanance"
"578","good app"
"579","jelek  kali install masih sama mau sign up malah eror keluar terus aplikasinyapdhl mau curhat perbaiki dong"
"580","serubisa sharing sama temen tp rubynya belinya gmn harus banget bayar ya"
"581","good i think"
"582","aplikasi ini cukup baik"
"583","help full"
"584","excellent"
"585","best"
"586","good"
"587","i cant sign up there is only one option as i open the app login its my first time using this app help"
"588","seriously no google billing option gimana yang pengen beli ruby nya pake pulsa pliss nanti tambahin fiturnya donk "
